ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	SUBGROUP	FORM	SPANISH	TOKENS	VALUE	BORROWING	MORPHEMES	NOTE	SOURCE
1	h u k	4783	one	Anonimo	Quechua	huc	uno	h u k	huc				valera1586
2	h u k	4783	one	Apuri	Quechua	huk	uno	h u k	huk				shimelman2017
3	h u k	4783	one	Apurimac	Quechua	huk	uno	h u k	huk, huj, huq				camacho2007
4	h u χ	4783	one	Apurimac	Quechua	huj	uno	h u χ	huk, huj, huq				camacho2007
5	h u q	4783	one	Apurimac	Quechua	huq	uno	h u q	huk, huj, huq				camacho2007
6	h u k	4783	one	Arma	Quechua	huk	uno	h u k	huk				galvez2003
7	h u k	4783	one	Atalla	Quechua	huk	uno	h u k	huk				heggarty2005
8	h u k	4783	one	Ayacucho	Quechua	huk	uno	h u k	huk				soto1976
9	ʃ u x	4783	one	Bobonaza	Quechua	shuj	uno	ʃ u x	shuj				orrwrisley1981
10	h u k	4783	one	Cacra-Hongos	Quechua	huk	uno	h u k	huk				shimelman2017
11	s u x	4783	one	Chachapoyas	Quechua	suj	uno	s u x	suj				taylor2006
12	h u k	4783	one	Chacpar	Quechua	huk	uno	h u k	huk				heggarty2005
13	s u χ	4783	one	Chetilla	Quechua	suχ	uno	s u χ	suχ				heggarty2005
14	z i n t a	4784	one	Chipaya	Uru-Chipaya	zinta	uno	z i n t a	zinta				heggarty2005
15	- u x	4783	one	Curva	Quechua	ux	uno	u x	ux				heggarty2005
16	h u χ	4783	one	Cuzco	Quechua	huχ	uno	h u χ	huχ				heggarty2005
17	h u k	4783	one	CuzquenoAntiguo	Quechua	huc	uno	h u k	huc				holguin1608
18	h u k	4783	one	Huallaga	Quechua	huk	uno	h u k	huk				heggarty2005
19	s u k	4783	one	Huanca	Quechua	suk	uno	s u k	suk				cerron1976
20	h u k	4783	one	Jauja	Quechua	huk	uno	h u k	huk				cerron1976
21	m a j a	40	one	Huancane	Aymara	maya	uno	m a j a	maya				heggarty2005
22	h u k	4783	one	Huangascar	Quechua	huk	uno	h u k	huk				shimelman2017
23	x u k	4783	one	HuarazHuailas	Quechua	huk	uno	x u k	huk				parkerchavez1976
24	ʃ u k	4783	one	Imbabura	Quechua	shuk	uno	ʃ u k	shuk				gomez2009
25	- u k	4783	one	Inkawasi	Quechua	uk	uno	u k	uk				heggarty2005
26	t - s i:	79	one	Iruhito	Uru-Chipaya	tsi:	uno	t s i:	tsi:				cerron2016
27	m a j a	40	one	Jaqaru	Aymara	maya	uno	m a j a	maya				heggarty2005
28	m a j a	40	one	Kawki	Aymara	maya	uno	m a j a	maya				heggarty2005
29	s u k	4783	one	Lamas	Quechua	suk	uno	s u k	suk				taylor2006
30	h u k	4783	one	Laraos	Quechua	huk	uno	h u k	huk				heggarty2005
31	h u k	4783	one	Lincha-Tana	Quechua	huk	uno	h u k	huk				shimelman2017
32	- u x	4783	one	Maragua	Quechua	ux	uno	u x	ux				heggarty2005
33	ʃ u -	4783	one	Napo	Quechua	shuj	uno	ʃ u	shuj				orrwrisley1981
34	x u k	4783	one	Pacaraos	Quechua	huk	uno	x u k	huk				adelaar1982
35	ʃ u k	4783	one	Pastaza	Quechua	shuc	uno	ʃ u k	shuc				landerman1973
36	- u x	4783	one	Pocona	Quechua	ux	uno	u x	ux				heggarty2005
37	m a j a	40	one	Puki	Aymara	maya	uno	m a j a	maya				heggarty2005
38	- u x	4783	one	Puno	Quechua	ux	uno	u x	ux				heggarty2005
39	s u g	4783	one	Putumayo	Quechua	sug	uno	s u g	sug				tandioy1978
40	x u k	4783	one	Raimondi	Quechua	huk	uno	x u k	huk				parkerchavez1976
41	h u k	4783	one	SanPedro	Quechua	huk	uno	h u k	huk				shimelman2017
42	s u x	4783	one	Santiagueno	Quechua	suk	uno	s u x	suk				juanatey2021
