ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Borrowing,Partial_Cognacy
Anonimo-1_one-1,,Anonimo,1_one,huc,huc,h u k,,valera1586,586,,,,,4783
Apuri-1_one-1,,Apuri,1_one,huk,huk,h u k,,shimelman2017,586,,,,,4783
Apurimac-1_one-1,,Apurimac,1_one,"huk, huj, huq",huk,h u k,,camacho2007,586,,,,,4783
Apurimac-1_one-2,,Apurimac,1_one,"huk, huj, huq",huj,h u χ,,camacho2007,586,,,,,4783
Apurimac-1_one-3,,Apurimac,1_one,"huk, huj, huq",huq,h u q,,camacho2007,586,,,,,4783
Arma-1_one-1,,Arma,1_one,huk,huk,h u k,,galvez2003,586,,,,,4783
Atalla-1_one-1,,Atalla,1_one,huk,huk,h u k,,heggarty2005,586,,,,,4783
Ayacucho-1_one-1,,Ayacucho,1_one,huk,huk,h u k,,soto1976,586,,,,,4783
Bobonaza-1_one-1,,Bobonaza,1_one,shuj,shuj,ʃ u x,,orrwrisley1981,586,,,,,4783
Cacra-Hongos-1_one-1,,Cacra-Hongos,1_one,huk,huk,h u k,,shimelman2017,586,,,,,4783
Chachapoyas-1_one-1,,Chachapoyas,1_one,suj,suj,s u x,,taylor2006,586,,,,,4783
Chacpar-1_one-1,,Chacpar,1_one,huk,huk,h u k,,heggarty2005,586,,,,,4783
Chetilla-1_one-1,,Chetilla,1_one,suχ,suχ,s u χ,,heggarty2005,586,,,,,4783
Chipaya-1_one-1,,Chipaya,1_one,zinta,zinta,z i n t a,,heggarty2005,587,,,,,4784
Curva-1_one-1,,Curva,1_one,ux,ux,u x,,heggarty2005,586,,,,,4783
Cuzco-1_one-1,,Cuzco,1_one,huχ,huχ,h u χ,,heggarty2005,586,,,,,4783
CuzquenoAntiguo-1_one-1,,CuzquenoAntiguo,1_one,huc,huc,h u k,,holguin1608,586,,,,,4783
Huallaga-1_one-1,,Huallaga,1_one,huk,huk,h u k,,heggarty2005,586,,,,,4783
Huanca-1_one-1,,Huanca,1_one,suk,suk,s u k,,cerron1976,586,,,,,4783
Jauja-1_one-1,,Jauja,1_one,huk,huk,h u k,,cerron1976,586,,,,,4783
Huancane-1_one-1,,Huancane,1_one,maya,maya,m a j a,,heggarty2005,520,,,,,40
Huangascar-1_one-1,,Huangascar,1_one,huk,huk,h u k,,shimelman2017,586,,,,,4783
HuarazHuailas-1_one-1,,HuarazHuailas,1_one,huk,huk,x u k,,parkerchavez1976,586,,,,,4783
